Skill,Frequency
kørekort,151
tværfagligt,165
socialfaglig,70
tryghed,215
selvstændig,468
humor,237
strategi,78
dokumentation,235
fleksibel,309
mødestabil,90
bevægelse,268
motivation,49
inkluderende,160
etiske,35
støtte,1377
udvikler,153
empati,119
handicaphjælp,31
rummelighed,27
rolig,142
omsorg,492
reflektere,258
tilknytning,90
imødekommende,92
opfordrer,69
tillid,208
kommunikation,253
specialpædagog,179
tålmodig,66
musik,110
pleje,267
anerkendende,436
udfordrende,104
mentor,70
humør,143
inspirere,186
målrettet,161
kreativ,265
passionerede,92
indkøb,25
positivitet,10
hjælpsomhed,16
nærhed,48
nærværende,298
relationer,401
neurorehabilitering,11
samarbejde,2072
terapi,44
